Type,H,Cr,Cb
1,18,134,127
1,20,132,128
1,22,130,126
1,25,133,127
1,18,131,129
1,15,134,125
1,28,132,128
1,12,135,126
1,24,131,127
1,19,133,128
1,21,132,126
1,23,130,129
1,17,134,128
1,14,133,127
1,20,131,125
1,26,132,128
1,16,135,126
1,22,130,127
1,19,134,129
1,25,131,128
1,18,132,126
1,24,133,127
1,13,130,125
1,27,134,129
1,15,131,126
1,21,133,128
1,23,132,127
1,19,130,126
1,17,135,128
1,20,132,127
1,22,134,129
1,14,131,126
1,18,133,128
2,18,138,122
2,20,139,120
2,22,141,118
2,15,137,124
2,12,140,121
2,25,139,119
2,10,142,123
2,17,138,125
2,21,141,122
2,14,140,120
2,19,139,121
2,23,137,124
2,16,142,119
2,24,141,123
2,11,138,120
2,26,140,122
2,13,137,118
2,20,142,125
2,18,139,121
2,22,140,124
2,15,141,123
2,12,138,122
2,25,137,119
2,10,139,120
2,17,142,124
2,21,140,121
2,14,138,122
2,19,141,123
2,23,139,120
2,16,137,118
2,24,142,125
3,15,144,115
3,18,145,112
3,20,146,110
3,12,143,117
3,10,147,108
3,22,148,105
3,8,145,112
3,14,146,114
3,16,144,116
3,11,147,109
3,19,143,115
3,13,148,110
3,17,145,108
3,21,146,114
3,9,144,111
3,23,147,107
3,10,143,113
3,18,148,116
3,15,145,110
3,12,146,109
3,20,144,112
3,11,147,115
3,19,143,108
3,13,145,111
3,17,148,114
3,21,146,110
3,9,144,116
3,23,147,109
3,10,143,112
3,18,148,108
3,15,145,115
3,12,146,111
3,20,144,109
4,10,152,105
4,12,154,102
4,8,155,98
4,15,150,108
4,5,156,95
4,18,153,100
4,7,157,92
4,11,151,106
4,14,154,99
4,4,158,94
4,9,152,103
4,13,155,101
4,6,150,97
4,19,156,105
4,3,151,93
4,16,154,108
4,8,157,96
4,10,152,102
4,12,155,100
4,7,150,94
4,18,156,107
4,4,151,95
4,9,154,103
4,13,157,101
4,6,152,98
4,19,155,106
4,3,150,92
4,16,156,104
4,8,151,97
4,10,154,108
4,12,157,93
4,7,152,100
4,18,150,96
5,5,160,110
5,8,162,108
5,178,161,132
5,175,158,129
5,2,159,112
5,179,163,130
5,4,161,115
5,174,160,135
5,6,158,118
5,1,164,110
5,177,162,128
5,3,159,134
5,173,161,131
5,7,163,112
5,180,158,127
5,176,164,133
5,5,160,114
5,172,159,136
5,9,162,109
5,2,161,131
5,178,163,128
5,4,158,132
5,175,160,115
5,1,162,130
5,179,159,134
5,6,164,111
5,177,161,127
5,3,158,135
5,173,163,129
5,7,160,112
5,180,162,133
5,176,159,128
5,5,161,131
6,170,135,128
6,165,130,135
6,5,140,130
6,175,132,127
6,0,138,132
6,160,134,138
6,178,133,130
6,3,142,134
6,168,131,136
6,172,136,129
6,163,135,131
6,177,130,128
6,2,138,133
6,174,134,135
6,5,132,127
6,161,140,138
6,179,133,132
6,1,136,136
6,169,131,129
6,173,135,134
6,166,132,131
6,176,138,128
6,4,130,135
6,171,134,133
6,164,136,127
6,178,131,134
6,2,133,138
6,175,140,130
6,3,132,132
6,167,135,136
6,172,138,129
6,162,130,131
6,180,134,135
